"혈","부위","판정","판정 근거","기대 층 (해부학)","문제","근거 문헌","제안 조치","방향 편차(°)","현재 경로 (첫 뼈·장기까지, mm)","평균 법선 경로 (편차 15° 이상만)","10 mm 이상 빈 구간","5 mm 이내 근접인데 표시 안 되는 위험구조","교차하는 위험구조","원문 자침법","검수 판정","검수 의견"
"SP20","가슴","보통","자동(근접 미표시)","","","","","4","Clavicular part pectoralis major 13.4 → Sternocostal part pectoralis major 20.9 → pectoralis minor 30.7 → external intercostal muscle 49.6 → internal intercostal muscle 50.6 → Posterior intercostal arteries 51.7 → innermost intercostal muscle 52.5 → Pleura 58.9","","0→13mm(Clavicular part pectoralis major 앞)","lateral thoracic artery 4.3mm옆@51.9; anterior intercostal veins 0.2mm옆@52; Intercostal nerves 1.7mm옆@56.5","Posterior intercostal arteries@51.7; Pleura@58.9","直刺 0.2～0.4寸 (모델 상한 6.8 mm)","",""
"SP21","가슴","보통","자동(공백)","","","","","직접 시드","serratus anterior 19.6 → external intercostal muscle 26.8 → internal intercostal muscle 29.6 → innermost intercostal muscle 29.7 → Pleura 35.6","","0→20mm(serratus anterior 앞)","","Pleura@35.6","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
"ST13","가슴","보통","자동(근접 미표시)","","","","","11","Clavicular part pectoralis major 12.3 → external intercostal muscle 28.3 → Pleura 36.6","","0→12mm(Clavicular part pectoralis major 앞)","Medial pectoral nerve 3.4mm옆@32","Pleura@36.6","直刺 0.2～0.3寸 (모델 상한 5.1 mm)","",""
"ST18","가슴","보통","자동(근접 미표시)","","","","","7","Sternocostal part pectoralis major 0 → internal intercostal muscle 17.2 → Pleura 27.7","","","Intercostal nerves 0.2mm옆@22.6; Posterior intercostal arteries 2.7mm옆@26.1; anterior intercostal veins 3.8mm옆@26.9","Pleura@27.7","直刺 0.2～0.3寸 (모델 상한 5.1 mm)","",""
"BL37","넓적다리","보통","수동","넙다리두갈래근·반힘줄근 사이 → 큰모음근 (궁둥신경)","궁둥신경 4.7 mm 근접 미표시. 반힘줄근 누락","해부","근접 표시","19","Long head biceps femoris 12.4 → adductor magnus 65.3","Long head biceps femoris 13.1 → semimembranosus 56 → adductor magnus 67.1","0→12mm(Long head biceps femoris 앞)","Sciatic nerve 4.7mm옆@53.2","","直刺 0.5～1.5寸 (모델 상한 33.4 mm)","",""
"GB31","넓적다리","보통","자동(공백)","","","","","4","iliotibial tract 10.8 → vastus lateralis 22.8 → adductor magnus 56.8","","0→11mm(iliotibial tract 앞)","","","直刺 0.5～1.5寸 (모델 상한 33.4 mm)","",""
"GB32","넓적다리","보통","자동(공백)","","","","","2","iliotibial tract 3 → vastus lateralis 16.6 → femur 46.4","","6→17mm(vastus lateralis 앞)","","","直刺 0.5～1寸 (모델 상한 22.3 mm)","",""
"ST31","넓적다리","보통","수동","넙다리빗근·넙다리근막긴장근 사이 → 넙다리곧은근 (가쪽넙다리휘돌이혈관)","41.6 mm 공백 후 넙다리곧은근","Störchle 2018 초음파 https://doi.org/10.1038/s41598-018-34213-0","공백 원인 확인","18","rectus femoris 41.6 → femur 76.3","sartorius 35.4 → rectus femoris 50.8 → iliacus 75.4 → lateral circumflex femoral artery 79.5","0→42mm(rectus femoris 앞)","","","直刺 0.8～1.5寸 (모델 상한 33.4 mm)","",""
"ST32","넓적다리","보통","자동(공백)","","","","","12","rectus femoris 10.8 → vastus intermedius 27.9 → femur 62.4","","0→11mm(rectus femoris 앞)","","","直刺 0.5～1寸 (모델 상한 22.3 mm)","",""
"ST34","넓적다리","보통","자동(공백)","","","","","11","rectus femoris 12 → vastus intermedius 18.5 → femur 46.9","","0→12mm(rectus femoris 앞); 31→47mm(femur 앞)","","","直刺 0.5～1寸 (모델 상한 22.3 mm)","",""
"BL11","등·허리","보통","수동","등세모근 → 작은마름근 → 위뒤톱니근 → 목널판근 → 척추세움근 → 늑간 → 흉막","층 사이 공백 11~12 mm 두 곳, 가장긴근 1.6 mm, 목널판근 누락. 흉막 64 mm","리뷰 인용(Lian): BL11~21 자침깊이 12~40 mm","공백 라벨, 정합 확인","15","Transverse part trapezius 10.3 → rhomboid minor 28 → serratus posterior superior 40.7 → longissimus thoracis 45.8 → external intercostal muscle 54.4 → Pleura 63.9","Transverse part trapezius 10.7 → serratus posterior superior 42.5 → longissimus thoracis 46 → levatores costarum longi 52.5 → levatores costarum longi 56.6 → levatores costarum breves 57.3 → external intercostal muscle 59.8 → Pleura 67.8","0→10mm(Transverse part trapezius 앞); 17→28mm(rhomboid minor 앞)","Posterior intercostal arteries 2.2mm옆@58.3; Intercostal nerves 3.3mm옆@59.4; anterior intercostal veins 3.2mm옆@61.1","Pleura@63.9","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL12","등·허리","보통","자동(공백)","","","","","12","Ascending part trapezius 9.2 → Transverse part trapezius 11.5 → rhomboid minor 32.1 → serratus posterior superior 39.5 → longissimus cervicis 46.8 → levatores costarum longi 48.4 → levatores costarum breves 52.8 → external intercostal muscle 54.8 → Pleura 65.1","","16→32mm(rhomboid minor 앞)","","Pleura@65.1","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL13","등·허리","보통","수동","등세모근 → 큰마름근 → 척추세움근 → 늑간 → 흉막","층 사이 공백 13 mm, 흉막 62 mm","같음","공백 라벨","6","Ascending part trapezius 8.7 → rhomboid major 33 → longissimus thoracis 40.2 → levatores costarum longi 47.5 → external intercostal muscle 50.5 → Posterior intercostal arteries 58.2 → Pleura 61.9","","20→33mm(rhomboid major 앞)","Intercostal nerves 0.5mm옆@56.8; anterior intercostal veins 1.5mm옆@60.9","Posterior intercostal arteries@58.2; Pleura@61.9","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL14","등·허리","보통","자동(공백)","","","","","13","Ascending part trapezius 11 → rhomboid major 29.3 → longissimus thoracis 35.9 → levatores costarum longi 39.3 → fifth rib 48.6","","0→11mm(Ascending part trapezius 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL15","등·허리","보통","자동(공백)","","","","","16","Ascending part trapezius 12.9 → rhomboid major 19.3 → longissimus thoracis 23.9 → levatores costarum longi 31.1 → Pleura 47.4","Ascending part trapezius 13.7 → rhomboid major 19.1 → longissimus thoracis 25.7 → external intercostal muscle 35.8 → sixth rib 40.1","0→13mm(Ascending part trapezius 앞); 35→47mm(Pleura 앞)","","Pleura@47.4","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL16","등·허리","보통","자동(근접 미표시)","","","","","12","Ascending part trapezius 9 → longissimus thoracis 25.4 → levatores costarum breves 35.5 → external intercostal muscle 39.6 → Pleura 48","","14→25mm(longissimus thoracis 앞)","Intercostal nerves 3.3mm옆@48.3","Pleura@48","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL17","등·허리","보통","자동(근접 미표시)","","","","","8","Ascending part trapezius 6.3 → latissimus dorsi 11.2 → longissimus thoracis 24.2 → levatores costarum longi 33.6 → external intercostal muscle 38.2 → Posterior intercostal arteries 41.4 → Pleura 47.1","","","anterior intercostal veins 1.9mm옆@41.8","Posterior intercostal arteries@41.4; Pleura@47.1","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL18","등·허리","보통","자동(공백)","","","","","3","latissimus dorsi 14.1 → longissimus thoracis 23.4 → levatores costarum longi 29.6 → levatores costarum breves 34.4 → external intercostal muscle 37.8 → tenth rib 38.1","","0→14mm(latissimus dorsi 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL19","등·허리","보통","자동(공백)","","","","","1","latissimus dorsi 11.6 → longissimus thoracis 19.7 → levatores costarum breves 34 → external intercostal muscle 34.1 → Pleura 48.5","","0→12mm(latissimus dorsi 앞); 36→49mm(Pleura 앞)","","Pleura@48.5","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL20","등·허리","보통","자동(공백)","","","","","13","latissimus dorsi 7 → serratus posterior inferior 14.6 → longissimus thoracis 21.8 → longissimus thoracis 29.8 → internal intercostal muscle 42.9 → Diaphragm 50.2 → Hepatovenous segment VII 80.7","","53→81mm(Hepatovenous segment VII 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL21","등·허리","보통","자동(근접 미표시)","","","","","17","latissimus dorsi 6.1 → serratus posterior inferior 13.3 → longissimus thoracis 23.2 → longissimus thoracis 32.1 → lateral lumbar intertransversarius 57","latissimus dorsi 5.7 → serratus posterior inferior 12.7 → longissimus thoracis 26.4 → kidney 79","42→57mm(lateral lumbar intertransversarius 앞)","Ilio-inguinal nerve 1.4mm옆@64; Iliohypogastric nerve 1.1mm옆@64.1","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL25","등·허리","보통","수동","(L4) 척추세움근·뭇갈래근 → 가로돌기","허리네모근 16 mm 두께로 나옴, 뭇갈래근 누락. L5 46.9 mm","요추 MRI 2020 https://doi.org/10.1016/j.imr.2020.100679: L4 가로돌기 57 mm","정합","5","latissimus dorsi 11.6 → iliocostalis lumborum 19.1 → quadratus lumborum 30.8 → Fifth lumbar vertebra 46.9","","0→12mm(latissimus dorsi 앞)","","","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"BL41","등·허리","보통","자동(공백)","","","","","7","Ascending part trapezius 12.6 → levator scapulae 35.9 → dorsal scapular artery 36.9 → serratus posterior superior 40.6 → iliocostalis cervicis 43.6 → longissimus thoracis 47.7 → fourth rib 50.5","","0→13mm(Ascending part trapezius 앞); 24→36mm(levator scapulae 앞)","","dorsal scapular artery@36.9","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL45","등·허리","보통","자동(공백)","","","","","9","Ascending part trapezius 2.9 → rhomboid major 22.6 → longissimus thoracis 32.4 → seventh rib 33.5","","10→23mm(rhomboid major 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL46","등·허리","보통","자동(공백)","","","","","2","latissimus dorsi 9.3 → iliocostalis thoracis 24.8 → levatores costarum longi 29.4 → levatores costarum breves 30.9 → external intercostal muscle 31.9 → eighth rib 32.2","","15→25mm(iliocostalis thoracis 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL47","등·허리","보통","자동(공백)","","","","","9","latissimus dorsi 11.9 → levatores costarum longi 22.8 → external intercostal muscle 28.5 → levatores costarum breves 29.4 → tenth rib 30.7","","0→12mm(latissimus dorsi 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL48","등·허리","보통","자동(근접 미표시)","","","","","10","latissimus dorsi 4.6 → serratus posterior inferior 12.7 → iliocostalis lumborum 17.4 → iliocostalis thoracis 20.7 → levatores costarum longi 26.3 → external intercostal muscle 27.2 → Diaphragm 55.1 → Hepatovenous segment VIII 63.7","","29→55mm(Diaphragm 앞)","Posterior intercostal arteries 4.1mm옆@28.8; Lower lobe lung 4mm옆@49.8; Pleura 3.4mm옆@51.4","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL50","등·허리","보통","자동(공백)","","","","","5","latissimus dorsi 3.4 → serratus posterior inferior 10.9 → iliocostalis lumborum 14.9 → twelfth rib 33.7","","20→34mm(twelfth rib 앞)","","","直刺 0.3～0.6寸 (모델 상한 12.1 mm)","",""
"GV3","등·허리","보통","수동","가시끝인대 → 가시사이인대 → 황색인대 → 경막·말총","가시사이인대 누락(메시는 존재), 말총 0.9 mm 근접 미표시","해부","근접 표시","4","latissimus dorsi 16 → interspinales lumborum 29.1 → Ligamenta flava 41.9 → Fifth lumbar vertebra 59","","0→16mm(latissimus dorsi 앞); 18→29mm(interspinales lumborum 앞); 31→42mm(Ligamenta flava 앞); 42→59mm(Fifth lumbar vertebra 앞)","Cauda equina 0.9mm옆@57.2","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV6","등·허리","보통","자동(공백)","","","","","직접 시드","Ascending part trapezius 9.8 → serratus posterior inferior 15.4 → Supraspinous ligament 15.7 → Twelfth thoracic vertebra 31","","16→31mm(Twelfth thoracic vertebra 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV7","등·허리","보통","자동(공백)","","","","","직접 시드","Ascending part trapezius 1.7 → Ascending part trapezius 2.1 → Supraspinous ligament 9.6 → Eleventh thoracic vertebra 20","","10→20mm(Eleventh thoracic vertebra 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV8","등·허리","보통","자동(공백)","","","","","직접 시드","Ascending part trapezius 1.5 → Supraspinous ligament 8 → Tenth thoracic vertebra 18.6","","9→19mm(Tenth thoracic vertebra 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV10","등·허리","보통","자동(공백)","","","","","7","Ascending part trapezius 11.3 → spinalis thoracis 19.9 → semispinalis thoracis 24.9 → Seventh thoracic vertebra 32.7","","0→11mm(Ascending part trapezius 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"CV23","목·어깨윗부분","보통","자동(공백)","","","","","15","platysma 5 → mylohyoid 18.9 → geniohyoid 21 → genioglossus 23.5 → Tongue 31.9 → Gingiva of upper jaw 59.9","platysma 5.5 → Mandible 13","8→19mm(mylohyoid 앞); 49→60mm(Gingiva of upper jaw 앞)","","Tongue@31.9","直刺 0.2～0.3寸 (모델 상한 5.5 mm)","",""
"GV14","목·어깨윗부분","보통","자동(공백)","","","","","7","Transverse part trapezius 11.9 → Transverse part trapezius 12.9 → splenius capitis 19.5 → splenius capitis 19.6 → rhomboid major 21 → serratus posterior superior 21.6 → First thoracic vertebra 24.2","","0→12mm(Transverse part trapezius 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"LI17","목·어깨윗부분","보통","수동","넓은목근 → 흉쇄유돌근 뒤모서리 → 목갈비근 사이 상완신경얼기","상완신경얼기 뿌리 교차 @18.7은 해부학적으로 타당. 흉쇄유돌근 누락","해부","—","8","platysma 11.1 → Roots of brachial plexus 18.7 → scalenus medius 21.2 → scalenus posterior 31.2 → Intertransverse ligamentsr 36.3 → Seventh cervical vertebra 41.8","","0→11mm(platysma 앞)","superficial cervical artery 1.9mm옆@8.4; Glossopharyngeal nerve (IX) 3.4mm옆@24.1; Dorsal scapular nerve 4.3mm옆@35.4","","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
"SI14","목·어깨윗부분","보통","수동","등세모근 → 어깨올림근·작은마름근 → 위뒤톱니근 → 척추세움근 → 늑간 → 흉막","층 순서 타당. 흉막 61.5 mm(문헌 52). 작은마름근 누락 가능","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 52 mm","깊이 차이 표기","23","Transverse part trapezius 11.1 → levator scapulae 32.9 → serratus posterior superior 40.8 → iliocostalis cervicis 43.1 → longissimus thoracis 46.2 → levatores costarum longi 49 → external intercostal muscle 52.2 → Pleura 61.5","Transverse part trapezius 12.3 → levator scapulae 35.7 → serratus posterior superior 48.7 → iliocostalis thoracis 52.6 → third rib 57.8","0→11mm(Transverse part trapezius 앞); 21→33mm(levator scapulae 앞)","Dorsal scapular nerve 2.4mm옆@36.3; Posterior intercostal arteries 4.1mm옆@57.6; anterior intercostal veins 3.4mm옆@60.3","Pleura@61.5","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"TE16","목·어깨윗부분","보통","수동","흉쇄유돌근 뒤 → 머리널판근 → 목혈관","척추동맥 1.5 mm 옆 @30.7 (깊이는 문헌과 일치, 혈관 종류는 원문 확인 필요). 흉쇄유돌근 누락","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 31 mm","근접 표시","4","splenius capitis 14.1 → splenius cervicis 16.5 → posterior cervical intertransversarii 21.5 → longissimus capitis 22.9 → Axis 34.7","","0→14mm(splenius capitis 앞); 24→35mm(Axis 앞)","vertebral artery 1.5mm옆@30.7","","直刺 0.3～0.5寸 (不宜深刺) (모델 상한 9.1 mm)","",""
"LR7","무릎·오금","보통","자동(근접 미표시)","","","","","5","semitendinosus 3.2 → tibia 14.7","","","genicular vein 4.9mm옆@6.9","","0.3～0.6寸 直刺 (모델 상한 14.3 mm)","",""
"LR8","무릎·오금","보통","자동(근접 미표시)","","","","","9","semitendinosus 0.6 → femur 22.1","","6→22mm(femur 앞)","great saphenous vein 4.1mm옆@5.1","","0.3～0.8寸 直刺 (모델 상한 17.8 mm)","",""
"CV2","배·샅","보통","자동(공백)","","","","","7","Linea alba 36.9 → Distal part of ileum 41.4","","0→37mm(Linea alba 앞)","","Distal part of ileum@41.4","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV5","배·샅","보통","자동(공백)","","","","","6","Linea alba 24 → Proximal part of ileum 29.9","","0→24mm(Linea alba 앞)","","Proximal part of ileum@29.9","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV6","배·샅","보통","자동(공백)","","","","","2","Linea alba 22.9 → Proximal part of ileum 28.7","","0→23mm(Linea alba 앞)","","Proximal part of ileum@28.7","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV7","배·샅","보통","자동(공백)","","","","","13","Linea alba 21.4 → Distal part of jejunum 27.2","","0→21mm(Linea alba 앞)","","Distal part of jejunum@27.2","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV9","배·샅","보통","자동(공백)","","","","","6","Linea alba 13.7 → Distal part of jejunum 25.9","","0→14mm(Linea alba 앞)","","Distal part of jejunum@25.9","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV11","배·샅","보통","자동(근접 미표시)","","","","","5","Linea alba 15.1 → gastro-epiploic artery 36.7 → gastroepiploic vein 39.5 → Transverse mesocolon 40","","0→15mm(Linea alba 앞); 17→37mm(gastro-epiploic artery 앞)","Middle colic artery 2mm옆@32.7; Middle colic vein 3.3mm옆@34.9","gastro-epiploic artery@36.7; gastroepiploic vein@39.5","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV13","배·샅","보통","자동(공백)","","","","","14","Linea alba 12.1 → Hepatovenous segment III 19.5","","0→12mm(Linea alba 앞)","","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"CV14","배·샅","보통","자동(공백)","","","","","9","Linea alba 12 → Hepatovenous segment III 17.4","","0→12mm(Linea alba 앞)","","","直刺 4～8分 (不宜深刺) (모델 상한 13.6 mm)","",""
"GB27","배·샅","보통","자동(근접 미표시)","","","","","3","internal oblique 14.8 → transversus abdominis 20.2 → inguinal ligament 30.7 → iliacus 46.1 → hip bone 73.3","","0→15mm(internal oblique 앞); 36→46mm(iliacus 앞)","Ilio-inguinal nerve 0.8mm옆@40.2","","直刺 0.5～0.8寸 (모델 상한 23.8 mm)","",""
"KI14","배·샅","보통","자동(공백)","","","","","5","external oblique 21.8 → internal oblique 23.1 → internal oblique 26.2 → rectus abdominis 28.3 → transversus abdominis 34.3 → Proximal part of ileum 37.3","","0→22mm(external oblique 앞)","","Proximal part of ileum@37.3","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"KI15","배·샅","보통","자동(근접 미표시)","","","","","8","external oblique 19 → internal oblique 19.4 → internal oblique 20.1 → rectus abdominis 20.9 → transversus abdominis 32.7 → Mesentery of small intestine 58.6","","0→19mm(external oblique 앞); 34→59mm(Mesentery of small intestine 앞)","superficial epigastric vein 4.4mm옆@2.4; Distal part of jejunum 3mm옆@31.8; Proximal part of ileum 2.3mm옆@34.2; Intercostal nerves 4.8mm옆@42.7","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"KI16","배·샅","보통","자동(공백)","","","","","23","internal oblique 17.1 → external oblique 18 → internal oblique 19.6 → transversus abdominis 19.6 → rectus abdominis 20.7 → Distal part of jejunum 34","external oblique 14.1 → internal oblique 15.8 → internal oblique 16.8 → rectus abdominis 18.1 → transversus abdominis 31.8 → Distal part of jejunum 35.6","0→17mm(internal oblique 앞)","","Distal part of jejunum@34","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"KI17","배·샅","보통","자동(공백)","","","","","24","external oblique 14 → internal oblique 14.9 → rectus abdominis 17.7 → internal oblique 19.6 → transversus abdominis 23.3 → Transverse colon 25.6","external oblique 11.7 → internal oblique 12.4 → rectus abdominis 14 → internal oblique 25.7 → transversus abdominis 26.9 → Transverse colon 31.8","0→14mm(external oblique 앞)","","Transverse colon@25.6","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"KI19","배·샅","보통","자동(근접 미표시)","","","","","5","external oblique 9.2 → internal oblique 9.9 → rectus abdominis 11.4 → internal oblique 25.7 → transversus abdominis 26.2 → Stomach 51.3","","27→51mm(Stomach 앞)","superior epigastric artery 3.7mm옆@18.7","Stomach@51.3","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"KI20","배·샅","보통","자동(근접 미표시)","","","","","2","external oblique 9.8 → internal oblique 10.7 → rectus abdominis 12.8 → internal oblique 20.8 → transversus abdominis 21.6 → Hepatovenous segment IV 24.3","","","superior epigastric artery 1.2mm옆@14","","直刺 0.3～0.8寸 (모델 상한 23.8 mm)","",""
"KI21","배·샅","보통","자동(근접 미표시)","","","","","13","external oblique 7.8 → internal oblique 7.9 → rectus abdominis 10.2 → internal oblique 19.8 → transversus abdominis 20.2 → Hepatovenous segment IV 23","","","superior epigastric artery 1.8mm옆@12.5","","直刺 0.3～0.7寸 (禁深刺) (모델 상한 20.8 mm)","",""
"LR13","배·샅","보통","자동(공백)","","","","","5","external oblique 15.1 → transversus abdominis 21 → Taenia omentalis 28.6 → Ascending colon 29.1","","0→15mm(external oblique 앞)","","Ascending colon@29.1","直刺 0.5～0.8寸 (不宜深刺) (모델 상한 13.6 mm)","",""
"SP13","배·샅","보통","자동(근접 미표시)","","","","","9","external oblique 17.8 → internal oblique 18.2 → transversus abdominis 23.9 → psoas major 51.2 → hip bone 76.4","","0→18mm(external oblique 앞); 28→51mm(psoas major 앞); 65→76mm(hip bone 앞)","Distal part of ileum 3.8mm옆@46.4; testicular vein 3.5mm옆@54.8","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"SP14","배·샅","보통","자동(공백)","","","","","10","external oblique 9.5 → internal oblique 16.9 → internal oblique 18.6 → transversus abdominis 23.9 → Proximal part of ileum 41.4","","26→41mm(Proximal part of ileum 앞)","","Proximal part of ileum@41.4","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"SP15","배·샅","보통","자동(공백)","","","","","3","external oblique 13.8 → internal oblique 16.8 → internal oblique 19.3 → transversus abdominis 26 → Distal part of jejunum 35.5","","0→14mm(external oblique 앞)","","Distal part of jejunum@35.5","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"SP16","배·샅","보통","자동(근접 미표시)","","","","","3","external oblique 8.3 → rectus abdominis 11.8 → internal oblique 14.7 → transversus abdominis 19.8 → internal oblique 21.9 → Transverse mesocolon 47.7","","23→48mm(Transverse mesocolon 앞)","Gallbladder 2.3mm옆@44.7; Transverse colon 1.6mm옆@48.2; Middle colic artery 2.8mm옆@52.2","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST19","배·샅","보통","자동(근접 미표시)","","","","","1","external oblique 7.2 → rectus abdominis 9.5 → Hepatovenous segment IV 21.3","","","musculophrenic artery 2.1mm옆@20.6","","直刺 0.5～0.8寸 (모델 상한 23.8 mm)","",""
"ST22","배·샅","보통","자동(근접 미표시)","","","","","8","external oblique 7.6 → internal oblique 8.5 → rectus abdominis 10.5 → transversus abdominis 30 → internal oblique 30.2 → Transverse mesocolon 48.4","","32→48mm(Transverse mesocolon 앞)","Intercostal nerves 3.1mm옆@30.1; Marginal colic artery 1.4mm옆@44.9; Marginal artery of colon 1.4mm옆@44.9","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST25","배·샅","보통","자동(근접 미표시)","","","","","12","external oblique 16.9 → internal oblique 17 → rectus abdominis 18.5 → transversus abdominis 31.5 → internal oblique 32.6 → Distal part of jejunum 35.3","","0→17mm(external oblique 앞)","inferior epigastric vein 4.2mm옆@35.6; Distal part of jejunum 2.9mm옆@39.3","Distal part of jejunum@35.3","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST26","배·샅","보통","자동(근접 미표시)","","","","","22","internal oblique 12.3 → external oblique 13.4 → rectus abdominis 16.9 → internal oblique 25.4 → transversus abdominis 32.8 → Mesentery of small intestine 63.1","internal oblique 16.8 → external oblique 17.7 → rectus abdominis 21.4 → internal oblique 23.3 → transversus abdominis 40.9 → Distal part of jejunum 41.8","0→12mm(internal oblique 앞); 36→63mm(Mesentery of small intestine 앞)","superficial epigastric vein 1.5mm옆@0; superficial epigastric artery 2mm옆@0; inferior epigastric vein 2.4mm옆@34.5; Distal part of jejunum 0.8mm옆@37.7; Proximal part of ileum 1.5mm옆@37.8","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST27","배·샅","보통","자동(근접 미표시)","","","","","1","external oblique 12.1 → rectus abdominis 12.7 → internal oblique 13.1 → rectus abdominis 29.3 → internal oblique 30.1 → transversus abdominis 35.6 → Middle part of ileum 38.2","","0→12mm(external oblique 앞)","superficial epigastric vein 4.6mm옆@0; inferior epigastric vein 3.7mm옆@30.7; Proximal part of ileum 4.9mm옆@38; Middle part of ileum 1.3mm옆@38.4","Middle part of ileum@38.2","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST28","배·샅","보통","자동(공백)","","","","","2","superficial epigastric vein 0.9 → internal oblique 16.8 → external oblique 18 → internal oblique 19.2 → rectus abdominis 20.3 → transversus abdominis 28.6 → Middle part of ileum 35.2","","4→17mm(internal oblique 앞)","","superficial epigastric vein@0.9; Middle part of ileum@35.2","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST30","배·샅","보통","수동","배바깥빗근 널힘줄 → 샅고랑굴(정삭)","정관·고환동정맥 1~2.6 mm 근접 미표시, 방향 51°","해부","근접 표시","51","external oblique 21.3 → internal oblique 25.3 → transversus abdominis 27.8 → Distal part of ileum 31.7","external oblique 39.6 → external oblique 41.5 → transversus abdominis 42.7 → internal oblique 42.9 → rectus abdominis 45 → external oblique 45.3 → rectus abdominis 48.5 → rectus abdominis 61.3 → rectus abdominis 63.9 → Middle part of ileum 71.1","0→21mm(external oblique 앞)","superficial epigastric vein 1.7mm옆@17; testicular vein 2.6mm옆@25.8; testicular artery 1.1mm옆@28.3","Distal part of ileum@31.7","直刺 0.3～0.5寸 (모델 상한 14.9 mm)","",""
"LI6","아래팔","보통","자동(근접 미표시)","","","","","10","brachioradialis 11.8 → flexor pollicis longus 15.2 → radius 15.7","","0→12mm(brachioradialis 앞)","cephalic vein 3mm옆@11; radial artery 2.5mm옆@14.9","","直刺 0.3～0.5寸 (모델 상한 11.2 mm)","",""
"LI7","아래팔","보통","자동(근접 미표시)","","","","","10","brachioradialis 6.9 → flexor pollicis longus 20.7 → flexor digitorum profundus 31.2 → Humeral head flexor carpi ulnaris 66.4 → basilic vein 72.3","","","anterior interosseous artery 3.1mm옆@39.4","basilic vein@72.3","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"LI9","아래팔","보통","자동(근접 미표시)","","","","","8","brachioradialis 3.5 → supinator 24.6 → ulna 49.2","","","recurrent interosseous artery 1.9mm옆@47","","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"LU6","아래팔","보통","자동(근접 미표시)","","","","","9","cephalic vein 4.3 → brachioradialis 6 → Humeral head pronator teres 15.1 → Ulnar head pronator teres 18.7 → flexor digitorum superficialis 24.5 → radius 26.6","","","radial vein 1.3mm옆@22.1","cephalic vein@4.3","直刺 0.5～1寸 (留3呼) (모델 상한 22.4 mm)","",""
